xup,zup,xlow,zlow
    0,      0,      0,      0
0.596,  0.139,  0.596, -0.139
1.183,  0.278,  1.183, -0.278
1.789,  0.417,  1.789, -0.417
2.385,  0.555,  2.385, -0.555
3.218,  0.555,  3.218, -0.555
4.050,  0.555,  4.050, -0.555
4.883,  0.555,  4.883, -0.555
5.715,  0.555,  5.715, -0.555
6.548,  0.555,  6.548, -0.555
7.380,  0.555,  7.380, -0.555
8.213,  0.555,  8.213, -0.555
9.045,  0.555,  9.045, -0.555
9.641,  0.417,  9.641, -0.417
10.247, 0.278,  10.247, -0.278
10.834, 0.139,  10.834, -0.139
11.43,      0,  11.43,      0